"Reviewer_ID","Total_reviews","Reviewer_ranking","Total_helpful_votes","Location","Recent_ratings"
"A1003B1Y8XJJ0C","9","977,759","3 of 3","","2 5 5 4 5 5 5 5 5"
"A1007CN9IR219O","2","8,746,433","1 of 3","","5 5"
"A1007OOXKZK6ZR","17","138,294","73 of 79","Arena_Granary, Nevada","4 5 3 5 3 4 5 5 4 1"
"A100AHRV2KCOA9","2","15,401,252","2 of 10","Houston, TX","5 3"
"A100BS7NTSIHFR","1","9,286,885","","","1"
"A100IX1FUK5IAW","10","1,160,415","15 of 29","","5 5 5 4 5 5 5 5 5 4"
"A100UUSZ6MNIHH","3","15,246,163","7 of 19","Lincoln, NE","1 5 2"
"A100V45NZHAU1U","1","8,913,839","","","5"
"A100WHX0JSGXDB","10","862,522","12 of 14","Saratoga, CA USA","5 5 5 4 5 5 5 5 5 5"
"A100WO06OQR8BQ","10","1,891","1936 of 2931","Conyers, GA United States","5 3 5 5 5 5 3 2 5 5"
"A1016MYYF5QSTY","10","34,917","163 of 182","Cleveland, TN","5 5 5 5 5 5 5 5 5 5"
"A101C3AXIAEBEJ","5","11,401,271","3 of 8","Morton, IL USA","4 1 1 1 1"
"A101CXE7L7YCJ9","2","8,271,888","3 of 4","","5 5"
"A101DQ2LUJT3ZO","2","4,354,852","2 of 3","","5 5"
"A101E2QF139S6Z","2","7,014,346","82 of 134","","2 1"
"A101F2I00TDKYA","2","15,591,765","1 of 53","","5 5"
"A101GGYK2QJG7X","3","4,255,328","1 of 1","Keller, Texas United States","5 5 4"
"A101IGBLYDPZ1Q","10","1,110,811","8 of 9","","3 5 5 5 4 5 5 5 5 4"
"A101KRW4QUWOGZ","2","3,293,245","9 of 13","","5 1"
"A101VRANDVR3ZW","1","9,283,356","1 of 2","Chicago, IL USA","4"
"A101YA6AOH3ZCM","7","709,475","9 of 11","","5 5 5 4 5 5 1"
"A102EIYP8FEYYM","4","4,155,422","","","5 5 5 5"
"A102K66KTS587O","1","15,232,754","1 of 12","","2"
"A102O4I8M08R4H","4","2,087,579","1 of 1","Phoenix, Azerbaijan","5 5 5 3"
"A102QJRK7Q5TBR","1","8,005,369","3 of 3","","5"
"A102RLOGIBBDMW","55","41,503","275 of 338","New York, NY","4 5 5 5 5 5 5 4 5 5"
"A1035C26QUKULN","7","2,750,439","6 of 11","","5 5 4 5 4 1 5"
"A1037N9OJXM5U3","3","1,264,433","4 of 4","","5 5 4"
"A103CFP5BKIB0A","4","6,851,743","1 of 1","","5 3 4 2"
"A103EFN0LE0PPT","10","394,392","16 of 21","","5 5 5 4 5 5 4 4 5 5"
"A103M4JNMSO8Y2","2","3,436,608","9 of 10","","5 3"
"A103PIUB7RJ1BD","9","658,528","5 of 6","","4 3 3 5 5 5 4 5 5"
"A103RPE68M0J2S","4","2,937,020","1 of 1","","4 5 4 5"
"A103S5Q9NCOUN5","10","420,599","5 of 5","","5 5 5 5 4 5 4 5 4 4"
"A103SSDVDUQM0M","3","614,362","23 of 25","Hinsdale, IL","4 5 5"
"A10434LGCTEEKS","10","466,091","22 of 25","Goleta, CA","4 5 4 4 5 5 5 5 2 5"
"A1046ALVPO3CHG","1","9,230,726","","","5"
"A1046P4YYMAHKE","3","9,561,759","5 of 11","","5 2 5"
"A1048HOW441Z1L","10","346,454","66 of 77","Waynesboro VA","5 5 2 4 5 4 4 5 5 5"
"A104DD1NNX39Q5","6","740,451","10 of 11","","4 1 1 5 5 5"
"A104EANUA8UFQL","2","4,487,095","3 of 4","","5 5"
"A104NBZOSZODEQ","10","68,054","328 of 369","Woodstock, GA USA","5 5 5 5 5 5 5 5 1 5"
"A104PEGWYH817U","2","7,574,901","9 of 12","San Francisco, CA USA","5 1"
"A104QS6M66L388","10","148,523","44 of 59","La Jolla, CA","1 5 5 1 5 5 4 4 5 2"
"A104Y36TF7IIEJ","1","10,220,111","2 of 3","Oklahoma","4"
"A1050FV5E5MFO","10","497,926","16 of 23","","5 1 5 2 4 2 4 5 5 5"
"A10527X6OW3Z65","7","2,953,527","3 of 6","","5 4 4 5 5 5 4"
"A1052FQY7XU5FP","2","15,503,411","2 of 18","","2 1"
"A1052MAF528LAY","11","1,702,562","7 of 13","","5 4 4 4 3 4 5 5 5 5"
"A1053OZTHM1WY","1","8,966,844","","","5"
"A1057STL4JPAY0","10","2,846,633","78 of 149","","1 1 1 5 5 5 4 4 5 5"
"A1060TU3IGU2UJ","10","10,590","147 of 160","","5 5 5 4 5 5 5 5 5 5"
"A1062KVGQTEGF9","10","71,210","143 of 186","","5 1 5 5 5 1 5 5 5 5"
"A106DR5N44B4RO","10","196,968","30 of 35","","5 5 4 5 3 4 5 4 3 5"
"A106JMRSLCPDSV","10","70,850","59 of 73","Dalhart, TX USA","5 5 5 4 4 5 4 5 5 4"
"A106Q85WT170FS","15","139,163","28 of 29","New Jersey, USA","5 5 5 5 5 5 5 5 5 5"
"A106QABMVGPB6L","1","10,065,335","1 of 3","NYC","5"
"A106XDAVKLD4IS","2","9,604,061","2 of 6","","5 5"
"A106ZPRBE44V44","10","671,394","6 of 14","Illinois","5 2 4 5 5 5 3 4 5 5"
"A10726WBCDDHPY","7","2,626,767","6 of 24","","1 5 5 1 3 5 1"
"A1073U3OMVJK62","9","1,254,577","3 of 4","Washington, DC","5 5 1 3 5 5 5 5 5"
"A1074E2OP4SRV1","5","15,323,115","6 of 15","Dayton, OH United States","5 4 5 3 2"
"A1076JUDQNF523","1","10,123,229","1 of 3","","2"
"A107HVR9N1HNQN","4","3,800,475","1 of 2","","4 4 5 3"
"A107LBAL35NBLJ","3","8,192,730","3 of 6","","1 5 5"
"A107UMM60ZMX5","4","15,555,675","","Amman","5 5 2 1"
"A107VUY4YHL354","10","211,255","93 of 114","","1 1 3 5 5 4 1 1 5 4"
"A1081JVTMI1R0W","7","2,766,761","6 of 12","","5 5 2 2 5 3 1"
"A10856Z98KXP0A","6","1,010,682","53 of 64","Chicago","5 3 1 5 5 5"
"A108X8H978A0M4","2","5,649,271","1 of 2","","3 4"
"A108XABRHAA9E7","10","2,160","5814 of 6083","Mamaroneck, NY","4 4 4 4 3 4 4 4 5 5"
"A1093KRIJL0WV7","2","10,156,168","","","1 5"
"A109A6W2OEQBMN","1","758,117","65 of 71","","5"
"A109I262UKXTNB","10","2,099,578","16 of 34","Sacramento, CA United States","5 5 5 5 5 5 5 5 5 5"
"A109S7O7VGQIWJ","2","7,621,415","6 of 9","Trenton, NJ USA","4 2"
"A109VLNYFWLAAC","2","10,425,563","6 of 16","","5 1"
"A10A01JH5APASH","7","825,267","13 of 16","","5 1 1 5 5 1 5"
"A10A0FHUKUG3DO","37","60,854","242 of 258","Philadelphia, PA, USA","5 5 5 5 5 4 2 1 3 3"
"A10A0IVY2NXI87","2","9,530,646","1 of 1","","5 3"
"A10A6L67TAH0AI","10","374,007","123 of 152","Boca Raton, Florida USA","2 2 5 2 5 2 5 5 5 5"
"A10AAR8XONRRI","1","15,115,439","","","1"
"A10AE8IK9QF3LZ","1","15,048,375","1 of 5","","3"
"A10AFVU66A79Y1","10","1,614","1249 of 1438","Florida","1 5 5 5 5 2 3 5 2 4"
"A10AGY7ROTTZEH","2","6,517,482","","","5 5"
