"","Review_ID","Item_ID","Base_item_ID","Review_date","Reviewer_ID","Real_name","Verified_purchase","Rating","Title","Content","Total_votes_week1","Total_votes_week2","Total_votes_week3","Total_votes_week4","Total_votes_week5","Total_votes_week6","Total_votes_week7","Total_votes_week8","Total_votes_week9","Total_votes_week10","Total_votes_week11","Total_votes_week12","Total_votes_week13","Total_votes_week14","Total_votes_week15","Total_votes_week16","Total_votes_week17","Total_votes_week18","Total_votes_week19","Total_votes_week20","Total_votes_week21","Total_votes_week22","Total_votes_week23","Total_votes_week24","Helpful_votes_week1","Helpful_votes_week2","Helpful_votes_week3","Helpful_votes_week4","Helpful_votes_week5","Helpful_votes_week6","Helpful_votes_week7","Helpful_votes_week8","Helpful_votes_week9","Helpful_votes_week10","Helpful_votes_week11","Helpful_votes_week12","Helpful_votes_week13","Helpful_votes_week14","Helpful_votes_week15","Helpful_votes_week16","Helpful_votes_week17","Helpful_votes_week18","Helpful_votes_week19","Helpful_votes_week20","Helpful_votes_week21","Helpful_votes_week22","Helpful_votes_week23","Helpful_votes_week24"
"1","R100E6MT94PK6L","B0051VVOB2","","1/8/2012","A1HGATCAMGXTGF",FALSE,TRUE,5,"Love My Kindle Fire!","I love my fire and highly recommend it to anyone who wants to watch videos (netflix, hulu, amazon), read ebooks (purchased or from the local library), surf the net and play games. I work in the tech field and I LOVE apple entertainment products (I own many apple products and at work I work with several). I am very thrilled with my fire (I LOVE IT TOO!) because it works great as an entertainment product (and more affordable than my apple products). I also think the fire is a great product because of Amazons clout and support. Any tech product I buy needs to be useable for years and updateable during those years. The amazon market (still growing) is and will be getting better all the time. Why? Sheer number of devices sold by Amazon equals a large potential population of people who will buy software equals software programmers wanting to be a part of that market. Also in IT the biggest frustration is having an older device and not being able to update it or not being able to use new software or technology because the manufacturer does not update their devices (software) or provide backwards support. I am not saying that Amazon will continue to provide support (that remains to be seen), but the size, longevity, profitability and attitude of pro consumer of a company are determining factors and compared to other companies I would bet that Amazon will not disappoint.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"2","R100HU42LKLLD0","B0057O9O6K","","4/10/2012","A3GGO95QT2PP47",FALSE,TRUE,2,"Not the best Tablet or a good buy","The operating system is is an early android. You cant use it to download Kindle EBooks, but can download from Barns & Noble or Ebooks.com. My tablet failed after about three months.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"3","R100PBXP49AU0B","B0051VVOB2","","3/26/2012","AA8JPO5R668P8",TRUE,TRUE,2,"Had it 3 months, would not purchase again","I have been reading on Kindle since the Kindle 2 was released. I am pretty heavily invested in Kindle at this point so the Fire was a logical upgrade...or so I thought. It is a very nice device that is made unuseable, in my opinion, by several flaws. This thing is heavy. Much heavier than it looks. The major problem here is it is difficult to hold. The size and thin bezel just aggravate the situation. The iPad is heavier, but it is bigger so I can lay down, rest my elbows on the bed and hold it comfortably over my chest. I cant get into a comfortable position with the Fire. It is not easy to hold with one hand without accidental touches and it slipping out of my hand. It is also very easy to press the power button while reading. The more I read on the Fire the less I like it. It fails where the early Kindles hit a home run. Those Kindles ""disappeared in your hand"". With this one, I find myself thinking about the terrible ergonomics and realize I have been spacing out while reading the past four pages. The Carousel interface is an unmitigated disaster. I find myself constantly removing things from it. Why would I want my browsing history in there? The browser is the next issue. It is as slow as molasses. Going back and forth between pages takes way too long. Many times I thought the touch didn't register so I touch again and it takes me back multiple pages. The browser is nice to have and is a big plus compared to a Kindle 2, but don't plan to spend much time with it. Chances are the browser on your phone works better. There are many great things about the Fire like apps, Prime streaming, Netflix, etc., but I rarely use any of it. My primary use for it is as a reader. Unfortunately, as a reader, the Kindle Fire stinks. If you want a cheapo tablet this is worth a look. If you plan to read then steer clear. Get an e-ink Kindle or use an iPad or phone.",NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"4","R100U020EZR95F","B0051VVOB2","","6/14/2012","A1NDQ8WBRADEO8",TRUE,FALSE,5,"College Grad - I use it waaaay more than my lap top!","I bought the Fire because I wanted access to apps, movies, email, docs and more, on something bigger than my phone, but more portable than my laptop. The Kindle ROCKS. I have it with me ALL the time. I plug it into my car stereo to listen to albums. I read on it. Play games. I get way more use out of it than I did my lap top. Now that I am not a student, I don't even use my lap top. I added my Netflix App. Bought the year of Amazon Prime (which allows me to watch unlimited Hey DUDE episodes, which I haven't seen since I was, like, 10). I LOVE the Fire...but I have never had another tablet to compare it to. The guy at Best Buy practically BEGGED me NOT to buy it, saying I wouldn't be happy...that I needed a Galaxy...but I stuck to my guns. I had researched the Fire and was sure it would be great. AND IT IS. It is easy to read books on it - I borrowed the first book of the Hunger Games and bought the second and third. Its waaaaay easy to download books, albums and apps. You can store with Amazon and access your content with a Wi-Fi signal...or you can download TONS of stuff right onto the Fire. Prime is worth the cost if you want to stream movies and shows and get promotional discounts on music and such. It is NOT worth it if you want to access the Lender's Library. 1 book a month is the borrowing limit. Surfing the web is really fast. I can open any website...so far. HERE ARE THE FEW ITEMS I WISH IT HAD: Ability to by a data plan for internet everywhere - hasn't brought me down too much, but it would be that much cooler. Ability to borrow more than 1 book a month from Prime. I read the Hunger Games in 2 days. I know they want you to BUY books, but when you pay for Prime, you should get a few more freebies a month.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6
"5","R101ANBUYVZCUM","B004U9USEA","","5/21/2011","A1M0INXF0D3R4J",FALSE,TRUE,5,"Better than I expected.","I got the Galaxy Tab because I wanted a computer that I could easily take from place to place without having to carry a bag everywhere. The Tab fits easily in my pocket and comes in very handy. When I decided to get this item I thought I would mainly use it for the browser and Facebook. While I do use them a lot, the main apps I use are YouTube and Kindle. Before having this, I would read maybe one or two books a year. I have had the Tab now for a month, and I have already read 3 books. Over all I am VERY happy with this product! P.S. - After having the Tab for about a week I decided a stand was needed for watching videos. I got the Arkon tablet stand and have been very happy with that as well. It also easily fits in a pocket.",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"6","R101MUGRC35UWS","B001UHPRSW","","1/29/2010","A19OG9I6KKHC3Y",FALSE,FALSE,1,"Pick a different computer","This was the computer recommended to my entire medical school class. Most of us bought it, although we should have ignored the recommendation and bought an Apple or an HP. It has been nothing but trouble for myself and many of my classmates. The usual complaint is that it's incredibly slow, but numerous people have had more specific problems such as the unit getting really hot, fans that don't turn off even when it's cool, and the cursor getting frozen when using the track pad. In addition to the fan and track pad issues, my computer had the problem of a non-responsive touch screen, both with the pen and a finger. I've sent it in to get fixed twice now, but it came back with the same problem the first time, and they still have it from the 2nd time. It's been in the shop for over half the time I've owned it because the repair parts are on back-order (apparently I'm not the only one in the world with this problem and in need of this part). Save yourself the headache. Don't buy this computer. We have a pretty decent sample size in my class, and there are enough people with problems for them to be isolated incidents.",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","R101ORXS3QME0V","B0052P6DQI","B004I43F9C","11/26/2011","A2ZZFET0L13WX8",FALSE,FALSE,4,"Great for travel and general use","I registered my Thrive 16GB on August 19, 2011. The input/output ports were the primary attractions of the Thrive and my initial judgement has proved to be correct - the more I use the Thrive the better I like it. Since I bought the Thrive I have used it every day. I took it on a 15 day riverboat trip in Russia instead of my 13.3"" laptop and it was wonderful, compact and very useful. Good wifi on the boat so I could check email and web surf with the Thrive as if I were at home. Took over 500 pictures with a 10MP camera and all pictures were stored on the Thrive with plenty of room to spare. I keep a 16GB SD card almost full time in the SD slot, then loaded pictures using a USB SD card reader feeding into the full size USB port on the Thrive. Stored pictures both internally and on the 16GB SD card. So good backup. I also carry a 40 GB digital wallet with USB connection and backed up pictures to it - the USB connection worked flawlessly with the Thrive. I have used the full size HDMI port to connect the Thrive both to my HD TV set and also to an Epson projector using an HP HDMI to VGA connector dongle as my projector does not have an HDMI input. I also have an Android smart phone, so my calender synchs beautifully among Outlook on my desktop and my Google calender on the Thrive, the smart phone and my Toshiba Portege laptop. All told, the Thrive has more than met my expectations. A week or so ago it upgraded to Android 3.2, but I haven't seen any specific changes, altho I have not had the ""sleep problem"" others have reported. No, I do not work for or have any relationship with Toshiba other than using and liking their products that I carefully selected and use. BTW, I sometimes use a Logitech Bluetooth mouse with the Thrive and it works well - more precise but not as fast as my fat fingers.",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
"8","R101Q9BHGSZVJX","B004UL34EY","B004UL34EY","5/6/2012","A1QN5JQOZAI5EF",FALSE,TRUE,5,"Highly Underestimated Tablet","What a great tablet. Let me break it down and explain PROs SIZE: The 7"" form factor is great, it is highly portable. I havent left it at home really since i got it. i'm not one to walk with a big bag, so this is great to drop into your purse or jacket/pants pockets (if you're a guy) It is very solid. So it's great for reading books as well. GESTURES: the playbook uses gestures to turn it on, change applications, and so on.. as there are no buttons on it except for the power and volume buttons. This has to be my FAVOURITE feature.. so ingenious! I own an ipod touch, now i find myself swiping on that screen. lol TRUE MULTITASKER: beauty about this tablet, you can run one application and simply swipe across to get to the other without stopping the first one.. pretty cool. I havent seen any lag on it, i have gotten up to 9 applications going at the same time and it still didnt slow down. BRIDGE: If you own a Blackberry smartphone, it will skyrocket the PB into more awesomeness. With the Bridge function, you can connect your phone with the playbook and use the phone's data plan to surf the internet on the playbook. Big help if there's no wifi around. You can also see a lot of information that's on the phone on the playbook. you can use BB messenger, memopad, calendar, messages (emails) on the playbook. FULL BROWSER WITH FLASH SUPPORT: when browsing, all flash material comes through just like you would on a computer. My mother is able to even check her farmville on it when she's in bed. Though it is laggy, but it will do the job. MEDIA - CAMERA: 3 MP forward facing, 5 MP rear; both capture Full HD 1080p video. you can get some beautiful photos and video. the mics are crisp and clear and loud. - SPEAKERS: 2 speakers on top of either ends of the tablet. They are nice and loud. - DISPLAY: 1024 x 600-pixel resolution. for the size of the tablet, videos looks great. very sharp and crisp FUTURE OS: I'm pretty sure BB10 operating system will come to the playbook which will just make the playbook a whole new device again... as i witnessed with Playbook OS 2.0 CONS: APPS: In truth, the Blackberry Appworld doesnt have a big apps market like the others have. But many times, the browser does well to access the website. (other tablets create apps because they dont have the flash support and isnt able to use the full website on it) There is no Netflix nor Skype app available, though there are apps that try to get around that. As far as i know, Netflix will not get to the Playbook neither. These dont affect me much because i dont have a netflix subscription and i dont use Skype. Some apps on the PB also tend to be a bit more pricey in comparison. The appstore is growing though so this con may do a turnaround at some point. WEIGHT: For it's size, it's kinda heavy and you can feel it in your hands after a bit. (especially when reading) Overall, I love the PB, i find more uses for it everyday. I find most people who complain about and sully the good name of the playbook didnt do their research... Take heed of what you're buying.. because if you want netflix and skype and a bunch of apps...dont get it and begin to complain that it doesnt have it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,7,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,6,6,7,7,7,7,7,7
"9","R101V6FOV799JU","B004UR9TI8","","6/29/2011","A35KWQ7KTWZWVI",FALSE,TRUE,5,"Lenovo ThinkPad X220 Tablet","Lenovo ThinkPad X220 Tablet! Although it took long time to reach me, this product is worth waiting for. It is not as cosmetized pinkish or flowerish looking one. Yes, it is professional for those who look for reliability and peace of mind. Its ThinkVantage updater takes care of updating its drivers on the go, although Microsoft gives good attention to this product in its KB library. One would be disappointed when he/she finds out that the WWAN module is not installed already with the purchase. But differences in networks specs in the World could be understood. Why to pay high for a module that I must throw and replace soon. Of course, there is big comparisions with this and that for this product is not with dedicated graphics card. Well, speaking of tablet raises the question: is there any tangible difference when using the tablet screen only? which requires the i7 processor alertness and not lagging with points and paths here and there. i7 processor should not need graphics dedication. Hey, I am not IT technologist anyway, but a tableter to the bone! Needelss to say that my comment is not new because the net is full of recommenders of this product when people ask about the best for working on Adobe products on tablet screens.",3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","R101Y28G1WV2J4","B00413PEZS","","6/21/2011","A2W98W3OVVNLAC",TRUE,TRUE,4,"A little disappointment","This is a nice little mini computer, but I am a little disappointed because I bought it especially to use as an extra item to use Kindle on, and the Kindle application doesn't work. It is also sometimes aggravating because it is harder to move the screen than an IPad. I don't think I would purchase it again if I had it to do all over.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
